app_id,category,os_type,app_store,developer_type,app_size_mb,install_count,rating,review_count,days_since_release,days_since_last_update,update_frequency,permissions_requested,sensitive_permissions,permission_ratio,network_requests_per_day,external_domains_contacted,encrypted_traffic_ratio,code_obfuscation_detected,anti_debugging_techniques,suspicious_api_calls,background_activity_score,data_collection_intensity,user_interaction_anomalies,developer_history_score,previous_violations,static_analysis_score,dynamic_analysis_score,malware_scan_score,risk_score,risk_category
app_00045,Entertainment,iOS,Microsoft Store,Open Source,12.78,950517,1.93,40610,432,704,18,19,0,0.0,22.04,5,0.85,0,0,7,0.884,0.601,0.904,0.989,0,0.065,0.402,0.838,0.872,High
app_00046,Education,macOS,Enterprise,Open Source,37.27,951761,1.92,49986,2266,505,15,9,5,0.556,54.2,15,0.451,0,0,0,0.174,0.396,0.758,0.696,0,0.816,0.224,0.224,1.0,High
app_00047,Games,iOS,App Store,Individual,51.31,34801,4.44,17684,1641,322,9,7,0,0.0,408.9,11,0.361,0,0,7,0.696,0.049,0.533,0.962,0,0.894,0.991,0.062,0.68,High
app_00048,Education,Android,Enterprise,Unknown,20.97,84182,4.3,1601,3112,39,13,10,7,0.7,1165.55,19,0.908,0,0,8,0.334,0.239,0.93,0.106,0,0.189,0.882,0.961,1.0,High
app_00049,Shopping,Linux,App Store,Individual,18.27,78349,1.52,22900,3509,669,18,6,5,0.833,29.33,2,0.501,0,1,0,0.116,0.377,0.009,0.819,0,0.283,0.018,0.432,1.0,High
app_00050,Games,Android,App Store,Individual,14.14,231858,4.73,5094,278,195,8,8,2,0.25,1359.37,17,0.84,0,0,5,0.621,0.046,0.872,0.973,1,0.75,0.13,0.758,0.487,Medium
app_00051,Social,Windows,Google Play,Unknown,2.62,617494,2.01,30688,3610,481,11,43,14,0.326,543.09,2,0.841,0,0,2,0.951,0.151,0.432,0.944,0,0.639,0.398,0.274,0.949,High
app_00052,Shopping,Windows,Third Party,Small Company,19.19,241631,3.9,11435,1981,162,11,20,10,0.5,241.45,8,0.411,0,0,7,0.771,0.845,0.761,0.626,0,0.033,0.921,0.617,1.0,High
app_00053,Entertainment,iOS,Enterprise,Unknown,84.78,518449,3.39,28551,1260,520,8,26,5,0.192,881.37,8,0.517,0,0,1,0.68,0.396,0.975,0.722,0,0.757,0.953,0.908,0.578,Medium
app_00054,Travel,iOS,Third Party,Open Source,51.41,730764,1.97,38569,3535,591,12,37,9,0.243,805.95,8,0.307,0,0,0,0.883,0.083,0.825,0.358,0,0.977,0.201,0.693,1.0,High
app_00055,Shopping,Android,Google Play,Open Source,22.94,844192,3.83,1935,2057,72,14,11,10,0.909,186.62,3,0.329,0,0,1,0.06,0.247,0.16,0.872,0,0.976,0.337,0.182,0.995,High
app_00056,Education,macOS,Third Party,Open Source,37.29,639382,1.65,10191,2962,722,8,33,5,0.152,1420.34,15,0.48,0,0,9,0.743,0.425,0.346,0.371,1,0.04,0.867,0.579,1.0,High
app_00057,Social,Android,Google Play,Open Source,12.69,415331,3.42,26968,1442,294,9,16,2,0.125,2844.32,15,0.465,0,0,6,0.633,0.373,0.513,0.413,0,0.437,0.097,0.405,1.0,High
app_00058,Education,Android,App Store,Small Company,93.9,101559,3.37,45903,3217,27,9,5,3,0.6,5480.73,4,0.979,0,0,2,0.442,0.331,0.449,0.669,0,0.449,0.588,0.949,0.126,Low
app_00059,Shopping,Linux,Third Party,Small Company,5.45,894335,1.15,6126,3276,164,15,32,14,0.438,80.91,18,0.991,0,0,9,0.039,0.122,0.452,0.934,0,0.507,0.042,0.148,1.0,High
app_00060,Health,iOS,Microsoft Store,Open Source,50.22,644418,2.02,6580,3250,427,12,49,3,0.061,296.78,16,0.958,0,0,4,0.094,0.673,0.444,0.868,0,0.693,0.838,0.945,0.297,Low
app_00061,Shopping,Android,Third Party,Unknown,148.92,736500,4.32,312,2792,587,7,8,0,0.0,510.84,14,0.576,0,0,1,0.999,0.048,0.977,0.407,1,0.782,0.567,0.738,1.0,High
app_00062,Games,Android,Enterprise,Individual,15.73,553553,4.7,4124,3526,481,11,28,13,0.464,1020.63,7,0.304,0,0,6,0.563,0.38,0.548,0.596,0,0.444,0.015,0.587,1.0,High
app_00063,Games,iOS,App Store,Open Source,7.04,287781,2.85,41996,2133,327,12,33,9,0.273,5.69,4,0.726,0,0,1,0.715,0.521,0.822,0.431,1,0.071,0.955,0.655,0.917,High
app_00064,Travel,macOS,App Store,Open Source,5.95,770288,2.41,46891,1358,372,10,32,2,0.062,56.59,8,0.518,0,0,0,0.977,0.823,0.522,0.123,1,0.8,0.185,0.295,1.0,High
app_00065,Social,iOS,Third Party,Individual,34.07,119835,4.85,42445,1799,384,11,17,6,0.353,243.47,9,0.856,0,0,8,0.84,0.9,0.353,0.237,0,0.275,0.823,0.424,1.0,High
app_00066,Health,Windows,Third Party,Large Corporation,10.24,343815,1.6,42432,2290,580,8,38,0,0.0,259.3,17,0.425,0,0,6,0.547,0.232,0.391,0.594,0,0.988,0.136,0.695,1.0,High
app_00067,Health,Linux,Third Party,Small Company,2.97,294154,3.9,44321,700,301,7,46,6,0.13,33.21,5,0.926,0,0,5,0.355,0.069,0.519,0.068,0,0.234,0.54,0.88,0.987,High
app_00068,Shopping,Windows,App Store,Individual,31.9,494048,2.83,8543,1154,726,11,39,1,0.026,10256.96,8,0.706,0,1,8,0.17,0.409,0.423,0.822,0,0.301,0.981,0.475,0.909,High
app_00069,Business,Linux,Google Play,Large Corporation,15.15,187094,1.61,26126,2004,247,12,25,3,0.12,33.17,7,0.905,0,0,3,0.709,0.036,0.303,0.263,0,0.088,0.937,0.554,0.423,Medium
app_00070,Social,Android,Enterprise,Open Source,8.6,777722,4.77,37184,262,418,15,41,3,0.073,6.04,10,0.651,0,0,2,0.674,0.532,0.721,0.141,0,0.819,0.323,0.023,0.657,High
app_00071,Entertainment,Linux,App Store,Individual,11.66,204081,4.9,48905,266,536,13,37,3,0.081,19.17,16,0.835,0,0,8,0.825,0.666,0.122,0.478,0,0.233,0.08,0.777,1.0,High
app_00072,Entertainment,Android,App Store,Individual,25.58,729730,3.02,35272,390,671,9,27,2,0.074,21.35,19,0.695,0,0,1,0.058,0.695,0.984,0.239,0,0.121,0.303,0.101,1.0,High
app_00073,Business,Android,App Store,Open Source,23.82,621927,3.53,23322,2149,358,9,40,11,0.275,380.39,5,0.921,0,0,6,0.526,0.482,0.177,0.387,1,0.249,0.134,0.419,1.0,High
app_00074,Games,Linux,App Store,Unknown,29.58,286266,1.55,5552,901,64,10,49,4,0.082,2287.73,18,0.345,0,0,0,0.548,0.454,0.844,0.098,0,0.15,0.325,0.737,0.72,High
app_00075,Business,Android,Enterprise,Individual,12.87,812567,4.44,43414,2673,104,7,45,0,0.0,284.39,8,0.623,0,0,5,0.637,0.614,0.067,0.518,0,0.737,0.512,0.68,0.083,Low
app_00076,Health,Linux,Enterprise,Unknown,13.94,909819,1.42,11290,1669,147,15,40,10,0.25,214.73,15,0.96,0,0,9,0.098,0.66,0.764,0.265,0,0.082,0.968,0.295,1.0,High
app_00077,Education,Windows,App Store,Large Corporation,74.53,445477,3.67,25548,3633,381,9,29,9,0.31,1016.78,10,0.859,0,1,5,0.486,0.92,0.521,0.616,0,0.044,0.111,0.599,1.0,High
app_00078,Shopping,Windows,Third Party,Small Company,15.82,185265,2.76,39906,2838,413,18,25,2,0.08,31.25,7,0.893,1,0,4,0.978,0.748,0.558,0.181,0,0.32,0.753,0.269,1.0,High
app_00079,Productivity,macOS,Microsoft Store,Individual,27.12,144229,1.53,24868,3634,606,12,48,12,0.25,2853.36,1,0.656,0,0,6,0.577,0.877,0.434,0.161,0,0.812,0.742,0.881,0.75,High
app_00080,Social,macOS,Enterprise,Unknown,8.54,763811,4.2,44532,2521,9,13,17,8,0.471,42.88,4,0.304,0,0,0,0.011,0.75,0.759,0.678,0,0.842,0.47,0.502,0.521,Medium
app_00081,Games,Android,Enterprise,Small Company,7.83,234727,3.89,47649,1014,226,8,21,6,0.286,157.29,3,0.345,0,0,3,0.053,0.487,0.599,0.602,0,0.322,0.636,0.149,1.0,High
app_00082,Entertainment,Windows,App Store,Large Corporation,58.42,152989,3.83,43944,868,703,12,34,6,0.176,809.7,17,0.604,0,0,8,0.933,0.643,0.421,0.636,0,0.118,0.41,0.84,1.0,High
app_00083,Games,iOS,Microsoft Store,Large Corporation,2.89,527859,1.81,30278,138,49,8,34,13,0.382,4270.92,13,0.848,0,0,9,0.873,0.842,0.186,0.803,0,0.483,0.133,0.081,1.0,High
app_00084,Finance,macOS,Enterprise,Large Corporation,19.54,357092,4.12,43629,1862,181,9,35,3,0.086,5138.43,4,0.309,0,0,5,0.262,0.247,0.906,0.25,0,0.759,0.45,0.777,0.198,Low
app_00085,Business,Linux,Google Play,Unknown,9.51,714523,1.19,40795,2298,440,10,31,6,0.194,109.76,11,0.974,0,1,9,0.828,0.788,0.624,0.494,1,0.145,0.725,0.191,1.0,High
app_00086,Productivity,Android,App Store,Large Corporation,5.64,62392,3.43,16386,2493,424,11,26,6,0.231,17.34,1,0.666,0,0,9,0.543,0.792,0.549,0.613,0,0.847,0.429,0.141,0.888,High
app_00087,Games,Android,Enterprise,Small Company,38.48,646061,2.85,30585,435,636,15,44,5,0.114,102.95,19,0.85,0,0,3,0.545,0.758,0.754,0.018,0,0.66,0.162,0.255,1.0,High
app_00088,Productivity,Windows,Enterprise,Small Company,21.89,171133,3.23,34891,1784,253,10,46,3,0.065,532.49,3,0.374,0,0,1,0.093,0.441,0.196,0.187,0,0.357,0.757,0.276,1.0,High
app_00089,Education,iOS,Microsoft Store,Unknown,5.05,172018,4.66,38001,1234,553,11,6,2,0.333,718.95,11,0.988,0,0,7,0.894,0.654,0.152,0.44,0,0.083,0.882,0.804,1.0,High
app_00090,Travel,Windows,Google Play,Individual,33.83,156322,2.94,49831,269,161,11,31,4,0.129,150.15,3,0.669,0,0,4,0.973,0.337,0.296,0.918,0,0.76,0.988,0.901,0.0,Low
app_00091,Health,Windows,Google Play,Individual,59.33,737083,2.98,9356,588,475,12,32,7,0.219,241.6,3,0.399,0,0,9,0.614,0.436,0.577,0.738,0,0.844,0.254,0.031,1.0,High
app_00092,Education,iOS,Microsoft Store,Small Company,12.32,954950,3.75,165,1071,453,16,12,6,0.5,268.98,3,0.786,0,0,4,0.033,0.304,0.653,0.938,1,0.766,0.788,0.665,0.741,High
app_00093,Travel,Linux,Third Party,Unknown,15.78,335198,1.0,17771,2936,557,12,12,2,0.167,2028.71,17,0.329,0,1,6,0.127,0.708,0.973,0.826,0,0.839,0.982,0.621,1.0,High
app_00094,Social,Android,Google Play,Small Company,154.74,881372,2.13,4503,1144,436,12,34,8,0.235,977.13,1,0.628,0,0,2,0.226,0.73,0.599,0.064,1,0.877,0.33,0.34,0.924,High
app_00095,Entertainment,Android,Microsoft Store,Unknown,22.53,576019,1.14,788,3648,493,16,9,3,0.333,130.78,9,0.937,0,0,7,0.956,0.025,0.694,0.082,1,0.464,0.138,0.341,1.0,High
app_00096,Entertainment,iOS,Third Party,Small Company,14.17,473720,3.53,30493,505,668,13,32,11,0.344,72.95,4,0.569,0,0,1,0.272,0.473,0.984,0.269,0,0.891,0.003,0.04,1.0,High
app_00097,Social,Windows,Microsoft Store,Individual,24.68,374326,2.11,24010,441,92,12,18,2,0.111,11.29,17,0.662,0,0,7,0.037,0.108,0.339,0.803,0,0.513,0.293,0.932,0.437,Medium
app_00098,Education,iOS,App Store,Individual,9.22,529036,4.27,35644,3643,182,17,15,13,0.867,100.62,19,0.615,1,0,7,0.422,0.411,0.908,0.714,0,0.309,0.824,0.955,0.952,High
app_00099,Education,Linux,Third Party,Unknown,23.26,166992,4.32,3770,1711,657,7,40,1,0.025,218.5,8,0.826,0,0,8,0.942,0.669,0.679,0.362,0,0.01,0.636,0.913,1.0,High
app_00100,Finance,iOS,App Store,Small Company,52.1,412855,3.55,11787,1629,677,12,49,14,0.286,263.55,5,0.386,0,0,6,0.817,0.067,0.387,0.852,0,0.078,0.543,0.862,0.859,High
app_00101,Health,Android,App Store,Large Corporation,31.98,886659,4.29,13477,3244,40,11,36,9,0.25,86.07,1,0.668,0,0,6,0.143,0.89,0.346,0.154,0,0.646,0.637,0.341,0.193,Low
app_00102,Health,iOS,Microsoft Store,Small Company,17.28,783252,1.41,8777,2373,391,10,16,5,0.312,35.61,1,0.374,0,1,7,0.977,0.532,0.136,0.099,0,0.926,0.414,0.395,1.0,High
app_00103,Games,macOS,Google Play,Open Source,12.89,250200,2.16,2179,2173,548,20,27,5,0.185,1550.37,17,0.362,0,0,0,0.386,0.34,0.541,0.154,0,0.542,0.762,0.834,0.637,High
app_00104,Shopping,iOS,Third Party,Large Corporation,3.32,247299,3.84,4867,3569,340,10,48,10,0.208,50.13,7,0.681,0,0,2,0.151,0.817,0.207,0.782,0,0.3,0.326,0.793,0.672,High
app_00105,Productivity,iOS,App Store,Individual,15.07,150123,1.16,25242,2661,163,17,31,4,0.129,5.07,15,0.909,0,0,4,0.794,0.276,0.877,0.944,0,0.463,0.981,0.483,0.114,Low
app_00106,Shopping,macOS,Microsoft Store,Large Corporation,25.93,368477,2.97,28074,1240,406,11,21,2,0.095,1202.06,14,0.619,0,0,3,0.807,0.476,0.996,0.059,0,0.64,0.298,0.24,0.99,High
app_00107,Games,Windows,Microsoft Store,Unknown,8.59,121768,3.04,24055,1725,286,18,7,5,0.714,13088.46,16,0.874,0,0,8,0.793,0.991,0.201,0.995,0,0.002,0.044,0.342,1.0,High
app_00108,Health,Linux,Microsoft Store,Individual,10.87,217328,4.01,8078,2236,127,14,27,8,0.296,216.71,2,0.354,0,0,5,0.306,0.549,0.632,0.577,0,0.006,0.101,0.869,0.828,High
app_00109,Games,Windows,App Store,Unknown,28.11,143621,4.18,40601,3430,187,8,35,11,0.314,84.93,14,0.407,0,0,6,0.476,0.226,0.64,0.979,0,0.358,0.648,0.123,1.0,High
app_00110,Productivity,Android,Google Play,Unknown,20.25,562721,2.82,24045,1480,565,6,18,1,0.056,1104.8,14,0.876,1,0,3,0.143,0.775,0.271,0.497,0,0.134,0.63,0.054,1.0,High
app_00111,Health,Windows,Microsoft Store,Open Source,61.62,578626,1.76,31907,1810,95,13,10,4,0.4,214.82,2,0.519,0,0,2,0.91,0.377,0.964,0.089,0,0.494,0.388,0.633,0.195,Low
app_00112,Business,Linux,Google Play,Open Source,33.86,539760,1.73,24437,523,451,14,25,3,0.12,29.0,19,0.744,1,0,5,0.957,0.5,0.433,0.458,0,0.369,0.37,0.052,1.0,High
app_00113,Business,iOS,Microsoft Store,Individual,85.84,680432,2.66,15243,3600,648,14,26,0,0.0,542.55,13,0.507,0,0,1,0.737,0.975,0.052,0.682,0,0.579,0.085,0.043,1.0,High
app_00114,Health,Android,Enterprise,Unknown,54.71,141465,3.06,2110,558,524,11,26,0,0.0,417.55,4,0.964,0,0,5,0.531,0.595,0.01,0.464,1,0.519,0.678,0.312,1.0,High
app_00115,Shopping,Windows,Third Party,Individual,41.19,239819,1.53,3876,3574,692,6,45,1,0.022,88.07,1,0.817,0,0,4,0.646,0.974,0.847,0.024,1,0.783,0.78,0.458,1.0,High
app_00116,Education,Linux,Microsoft Store,Individual,4.05,90406,3.84,2214,2658,225,12,27,11,0.407,28.3,4,0.97,1,0,3,0.544,0.963,0.076,0.366,0,0.196,0.141,0.622,1.0,High
app_00117,Productivity,Linux,Microsoft Store,Open Source,82.52,893488,4.24,13389,1007,411,13,42,7,0.167,270.99,9,0.783,0,1,3,0.631,0.448,0.134,0.958,0,0.242,0.501,0.68,1.0,High
app_00118,Education,macOS,Microsoft Store,Unknown,16.61,346809,4.04,31443,2350,222,4,33,7,0.212,72.61,12,0.928,0,0,1,0.854,0.242,0.961,0.197,1,0.995,0.712,0.981,0.59,Medium
app_00119,Finance,iOS,Third Party,Open Source,31.89,980668,4.68,38880,2359,153,14,21,10,0.476,424.94,2,0.83,0,0,3,0.247,0.641,0.667,0.163,0,0.772,0.499,0.012,0.788,High
app_00120,Finance,Linux,Enterprise,Large Corporation,5.75,587615,1.71,20032,2504,602,9,33,2,0.061,497.22,12,0.764,0,0,7,0.99,0.955,0.495,0.513,0,0.635,0.091,0.033,1.0,High
app_00121,Health,Linux,Google Play,Large Corporation,10.25,675773,2.43,45750,116,692,10,5,1,0.2,29.73,1,0.423,1,0,3,0.582,0.437,0.58,0.517,0,0.282,0.353,0.894,1.0,High
app_00122,Productivity,iOS,Third Party,Unknown,82.36,74701,4.56,47867,2676,108,13,23,6,0.261,65.97,14,0.445,0,0,2,0.507,0.409,0.811,0.836,0,0.694,0.771,0.655,0.472,Medium
app_00123,Business,Windows,Third Party,Open Source,27.65,770426,4.72,37736,254,180,15,10,4,0.4,26.24,7,0.513,0,0,2,0.052,0.191,0.31,0.732,0,0.416,0.759,0.61,0.465,Medium
app_00124,Travel,iOS,Enterprise,Open Source,8.55,482588,2.48,36228,3119,550,9,25,7,0.28,23.4,17,0.566,0,0,1,0.781,0.584,0.952,0.042,0,0.602,0.297,0.714,0.762,High
app_00125,Finance,Android,Microsoft Store,Unknown,25.8,784292,3.83,2620,1105,488,11,19,6,0.316,759.11,7,0.895,0,0,8,0.195,0.345,0.336,0.979,1,0.701,0.727,0.562,1.0,High
app_00126,Business,Windows,Google Play,Small Company,19.97,629798,2.93,19565,1568,127,17,47,3,0.064,565.37,3,0.308,0,1,6,0.235,0.705,0.817,0.546,1,0.052,0.505,0.718,1.0,High
app_00127,Productivity,iOS,App Store,Small Company,26.29,853923,3.86,35541,891,554,16,8,3,0.375,594.05,19,0.651,0,0,6,0.572,0.833,0.906,0.012,0,0.052,0.549,0.288,1.0,High
app_00128,Social,Android,App Store,Open Source,7.18,853492,4.74,10818,1948,68,10,23,5,0.217,9.92,5,0.35,0,0,0,0.642,0.671,0.632,0.199,0,0.751,0.101,0.278,0.849,High
